event_index,time_s,peak_frequency_khz,peak_magnitude
1195250,239.05,90,29.434581089353
1195251,239.0502,170,12.5423496429405
1195252,239.0504,165,9.91706414291395
1195441,239.0882,170,16.9943715768404
1195444,239.0888,165,9.33532970708821
1195869,239.1738,160,142.958673263925
1195870,239.174,165,47.8954388317279
1195871,239.1742,180,10.6762551730781
1195936,239.1872,160,11.8134975307229
1196094,239.2188,120,9.96610825354125
1196095,239.219,165,51.8234189703748
1196096,239.2192,165,221.892130733909
1196097,239.2194,180,21.45301181732
1196109,239.2218,130,16.7729601536133
1196138,239.2276,165,440.379810006486
1196139,239.2278,165,266.853926814169
1196140,239.228,140,42.0933505186333
1196141,239.2282,140,26.7189790891656
1196142,239.2284,140,12.9386695193596
1196143,239.2286,165,13.4169297059668
1196158,239.2316,170,24.2523399796041
1196159,239.2318,165,59.52453602436
1196937,239.3874,300,10.6326611846067
1196938,239.3876,175,7.09021689809061
1196939,239.3878,175,11.5176105890661
1196956,239.3912,145,15.4987984220108
1196957,239.3914,165,62.5738045208317
1198073,239.6146,165,31.6704875327289
1198074,239.6148,165,18.8420060881937
1199175,239.835,165,36.2662810075355
1199176,239.8352,165,22.9839225369739
1199187,239.8374,125,5.96941618862819
1199240,239.848,115,5.6950036969596
1207719,241.5438,165,7.42847880894189
1210128,242.0256,165,147.871553241383
1210129,242.0258,165,35.1534045171883
1210237,242.0474,165,9.57518823741847
1210837,242.1674,165,77.6460307230808
1210838,242.1676,175,8.34154204553485
1212118,242.4236,205,4.57454655695962
1212119,242.4238,165,17.4074585371019
1212741,242.5482,165,24.1745532012612
1213230,242.646,165,8.17239936183064
1213234,242.6468,165,10.7915089944681
1213360,242.672,165,7.95762411726584
1213387,242.6774,165,7.58665169668716
1213507,242.7014,165,13.1550732097523
1213910,242.782,165,12.0391631070249
1215673,243.1346,130,7.18124457790697
1216387,243.2774,165,8.57686691679833
1216389,243.2778,165,11.8530909290171
1216393,243.2786,165,45.1433423554143
1216394,243.2788,165,13.2427861974192
1218758,243.7516,165,8.85560592335486
1218940,243.788,465,6.37806631791929
1219726,243.9452,165,10.5246663157848
1220326,244.0652,170,7.7347398012077
1220362,244.0724,165,11.1125920470527
1220521,244.1042,165,10.1166504044414
1221122,244.2244,175,7.57061996723742
1223095,244.619,165,12.1523233801614
1224885,244.977,300,12.1997462738107
1225668,245.1336,165,9.4954247877018
1230507,246.1014,165,8.67891403595852
1231018,246.2036,165,28.0276623868111
1236895,247.379,170,7.33291153307951
1238474,247.6948,165,17.4433598446927
1238965,247.793,165,10.5170273624875
1240231,248.0462,165,7.67229437668029
1241012,248.2024,165,55.3454469164381
1241151,248.2302,165,10.3209791872506
1241160,248.232,170,16.9375772655685
1241161,248.2322,165,25.6562482361445
1241225,248.245,170,20.0154012119806
1241226,248.2452,165,13.5773381251249
1241233,248.2466,165,15.5361580234112
1241909,248.3818,165,5.01606325662076
1243837,248.7674,165,13.3355320302425
1244256,248.8512,195,11.2454385267427
1244257,248.8514,165,50.1167080500567
1244262,248.8524,170,6.05273427854178
1244276,248.8552,240,10.8125746371215
1244373,248.8746,165,33.5057496303368
1245286,249.0572,165,9.80859785085588
1245287,249.0574,165,16.681763913605
1246401,249.2802,165,7.918094990913
1246431,249.2862,160,4.49614306365198
1246433,249.2866,165,137.300491575731
1246434,249.2868,165,37.971470943172
1246838,249.3676,170,4.29337624322876
1246843,249.3686,165,10.8241878922051
1246845,249.369,170,52.2215232377383
1246846,249.3692,165,16.2479292747856
1246877,249.3754,165,55.4412228519855
1247009,249.4018,165,35.690666506439
1247666,249.5332,165,70.5464370983531
1247667,249.5334,180,18.7306805365695
1247923,249.5846,165,7.46986437409509
1248002,249.6004,165,8.09784012740816
1248131,249.6262,165,7.20402702297878
1248138,249.6276,165,6.93907593925973
1248239,249.6478,300,8.01666976087867
1248361,249.6722,170,54.5935208888261
1248362,249.6724,185,43.0974264423105
1248363,249.6726,180,11.5161072334501
1248403,249.6806,165,64.6088621739492
1248404,249.6808,165,27.67098796802
1248411,249.6822,165,7.97849879126269
1248412,249.6824,165,12.2922522787666
1248413,249.6826,300,4.43632140323944
1248743,249.7486,170,11.9290354543106
1249013,249.8026,165,20.7069692165706
1249977,249.9954,165,9.25724161395056
1250221,250.0442,165,38.3230361972705
1250223,250.0446,305,20.4529285593009
1250224,250.0448,165,784.551022631415
1250225,250.045,175,68.2440571769335
1250226,250.0452,165,32.6147637353395
1250227,250.0454,165,20.9158856288396
1250238,250.0476,160,14.9928609683341
1250239,250.0478,165,32.6492831243664
1250299,250.0598,165,9.11997918266714
1250487,250.0974,165,7.08701091122039
1250682,250.1364,165,25.2430572607799
1250846,250.1692,165,49.6808117820021
1250847,250.1694,165,9.54284944708284
1251030,250.206,165,9.37206398499659
1251057,250.2114,165,17.0951216567155
1251059,250.2118,160,12.9614922630911
1251062,250.2124,165,13.8193895917954
1251155,250.231,165,7.96708947677263
1251156,250.2312,165,31.0064495763896
1251295,250.259,165,9.47176274048374
1251303,250.2606,240,8.30316231574405
1251568,250.3136,165,13.5364868893389
